ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
42,传统烟,大陆,芙蓉王,芙蓉王(蓝)??硬蓝,芙蓉王,烤烟型,10mg,,1.0mg,11mg,84mm,28mm,24mm,纸质硬盒,深蓝,金,,20,￥35元,￥350元,6901028193856,6901028193863
43,传统烟,大陆,芙蓉王,芙蓉王(硬),芙蓉王,烤烟型,11mg,,1.2mg,11mg,84mm,20mg,24mm,纸质硬盒,灰,金,,20,￥25元,￥250元,6901028193498,6901028193504
44,传统烟,大陆,芙蓉王,芙蓉王(钻石)旧版,芙蓉王,烤烟型,8mg,,0.9mg,8mg,84mm,28mm,24mm,纸质硬盒,深蓝,金,10,20,￥100元,￥1000元,6901028194983,6901028194990
45,传统烟,历史品牌,长沙,盖长沙,长沙,烤烟型,15mg,,,,,,,,,,,,,,,
46,传统烟,历史品牌,长沙,软长沙,长沙,烤烟型,15mg,,,,,,,,,,,,,,,
47,传统烟,历史品牌,长沙,喜长沙,长沙,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
48,传统烟,大陆,帝豪,帝豪(国风),帝豪,烤烟型,10mg,,0.9mg,12mg,84mm,,,纸质硬盒,黑茶,金,,20,￥30元,￥300元,6901028163767,6901028163750
49,传统烟,大陆,黄山,黄山(软红)??中国香,黄山,烤烟型,13mg,,1.2mg,14mg,84mm,25mg,24mm,纸质软包,红,金,,20,￥10元,￥100元,6901028208833,6901028208840
51,传统烟,大陆,黄山,黄山(金醇和),黄山,烤烟型,11mg,,1.2mg,11mg,84mm,25mg,24mm,纸质硬盒,绿,金,,20,￥7元,￥70元,6901028131162,6901028131155
53,传统烟,大陆,黄山,黄山(硬)??中国红 老黄山,黄山,烤烟型,11mg,,1.1mg,12mg,84mm,25mg,24mm,纸质硬盒,红,金,10,20,￥11元,￥110元,6901028131285,6901028131278
56,传统烟,大陆,黄山,黄山(新概念),黄山,烤烟型,10mg,,1.0mg,10mg,84mm,20mg,24mm,纸质软包,粉,红,,20,￥32元,￥320元,6901028124027,6901028124010
57,传统烟,大陆,黄山,黄山(国宾迎客松)??黑松,黄山,烤烟型,11mg,,1.2mg,12mg,84mm,25mg,24mm,纸质硬盒,黑,红,,20,￥22元,￥220元,6901028225021,6901028225014
58,传统烟,大陆,黄山,黄山(贵宾迎客松),黄山,烤烟型,11mg,,1.1mg,10mg,84mm,25mg,24mm,纸质硬盒,红,银,10,20,￥1330,￥130元,6901028225045,6901028225052
59,传统烟,大陆,黄山,黄山(嘉宾迎客松),黄山,烤烟型,8mg,,0.8mg,9mg,84mm,25mg,24mm,纸质硬盒,黄,红,10,20,￥10元,￥100元,6901028225205,6901028225199
60,传统烟,大陆,黄山,黄山(硬一品)??中国香,黄山,烤烟型,10mg,,0.9mg,12mg,84mm,25mg,24mm,纸质硬盒,红,金,10,20,￥9元,￥90元,6901028208802,6901028208819
61,传统烟,大陆,黄山,黄山(硬红)??中国香,黄山,烤烟型,14mg,,1.3mg,14mg,84mm,25mg,24mm,纸质硬盒,红,金,,20,￥10元,￥100元,6901028208956,6901028208963
62,传统烟,大陆,黄山,黄山(经典皖烟),黄山,烤烟型,11mg,,1.1mg,11mg,84mm,25mg,24mm,纸质硬盒,红,黄,,20,￥65元,￥650元,6901028225083,6901028225076
65,传统烟,大陆,渡江,渡江(黄软盒),渡江,烤烟型,15mg,,1.2mg,,84mm,,,纸质软包,黄色,,10,20,￥3元,￥30元,6901028124041,
66,传统烟,,,渡江(红),,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
67,传统烟,,,渡江(铂金硬盒),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥4元,,,
68,传统烟,,,渡江(东海蓝软),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥1元,,,
69,传统烟,,,渡江(东海蓝硬),,烤烟型,15mg,,1.0mg,,,,,,,,,,￥2元,,,
70,传统烟,,,丹健(5mg),,混合型,5mg,,,,,,,,,,,,￥4元,,,
71,传统烟,,,丹健(3mg),,混合型,3mg,,,,,,,,,,,,,,,
73,传统烟,大陆,好猫,好猫(金),好猫,烤烟型,15mg,,1.2mg,,84mm,30mg,24mm,纸质硬盒,金,红,,20,￥10元,￥100元,6901028058070,
74,传统烟,大陆,好猫,好猫(吉祥),好猫,烤烟型,11mg,,1.1mg,13mg,84mm,25mg,24mm,纸质软包,褐红,金,10,20,￥25元,￥250元,6901028936194,6901028936200
75,传统烟,大陆,好猫,好猫(炫蓝),好猫,烤烟型,11mg,,1.1mg,13mg,84mm,25mg,24mm,纸质硬盒,兰,金,,20,￥20元,￥190元,6901028936132,6901028936149
76,传统烟,,,咖啡猴王,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
77,传统烟,,,磨砂猴王,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
78,传统烟,,,金猴王,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
79,传统烟,,,红猴王,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
80,传统烟,,,红猴王(软),,烤烟型,,,,,,,,,,,,,,,,
81,传统烟,,,红盖金丝猴,,烤烟型,,,,,,,,,,,,,,,,
82,传统烟,,,金丝猴,,烤烟型,15mg,,1.0mg,,,,,,,,,,,,,
88,传统烟,大陆,芙蓉,芙蓉(精品),芙蓉,烤烟型,13mg,,1.3mg,13mg,84mm,20mg,24mm,纸质硬盒,深红,金,,20,￥8元,￥80元,6901028193634,6901028193641
