ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
611,传统烟,历史品牌,遵义,遵义(软高),遵义,烤烟型,13mg,,1.3mg,14mg,84mm,22mm,25mg,纸质软包,红,白,,20,￥35元,￥350元,6901028036580,6901028036573,,,,,,,,,
613,传统烟,大陆,红河,红河(源),红河,烤烟型,12mg,,1.2mg,12mg,84mm,27mm,24mm,纸质硬盒,红,黑,,20,￥10元,￥100元,6901028055208,6901028055505,,,,,,,,,
614,传统烟,大陆,红河,红河(道),红河,烤烟型,10mg,,1.0mg,10mg,84mm,27mm,24mm,纸质硬盒,棕,金,,20,￥100元,￥1000元,6901028055185,6901028055482,,,,,,,,,
615,传统烟,大陆,钻石,钻石(红石2代),钻石,烤烟型,11mg,,1.0mg,11mg,84mm,25mg,24mm,纸质硬盒,红,金,10,20,￥8元,￥80元,6901028250726,6901028250733,,,,,,,,,
617,传统烟,大陆,钻石,钻石(软如意),钻石,烤烟型,12mg,,1.0mg,12mg,84mm,25mg,24mm,纸质软包,金黄,咖啡,,20,￥10元,￥100元,6901028250504,6901028250511,,,,,,,,,
618,传统烟,大陆,钻石,钻石(硬特醇)??紫钻,钻石,烤烟型,11mg,,0.8mg,13mg,84mm,25mg,24mm,纸质硬盒,紫,银,10,20,￥7元,￥70元,6901028080217,6901028080224,,,,,,,,,
619,传统烟,大陆,钻石,钻石(硬蓝),钻石,烤烟型,11mg,,0.9mg,11mg,84mm,25mg,24mm,纸质硬盒,蓝,金,10,20,￥8元,￥80元,6901028080439,6901028080446,,,,,,,,,
620,传统烟,大陆,钻石,钻石(金石),钻石,烤烟型,8mg,,0.8mg,10mg,84mm,30mg,24mm,纸质硬盒,金,红,,20,￥15元,￥150元,6901028250788,6901028250795,,,,,,,,,
621,传统烟,大陆,钻石,钻石(硬红),钻石,烤烟型,11mg,,1.0mg,13mg,84mm,25mg,24mm,纸质硬盒,红,金,10,20,￥10元,￥100元,6901028080330,6901028080347,,,,,,,,,
622,传统烟,大陆,钻石,钻石(硬珍品),钻石,烤烟型,11mg,,0.9mg,11mg,84mm,30mg,24mm,纸质硬盒,深红,黑,,20,￥25元,￥250元,6901028250597,,,,,,,,,,
623,传统烟,大陆,钻石,钻石(竖版硬玫瑰紫),钻石,烤烟型,15mg,,1.1mg,15mg,84mm,30mg,24mm,纸质硬盒,紫,银,10,20,￥6元,￥60元,6901028080019,,,,,,,,,,
625,传统烟,大陆,北戴河,北戴河(软100混),北戴河,混合型,14mg,,1.1mg,14mg,98mm,25mg,24mm,纸质软包,红,黑,,20,￥2元,￥20元,6901028080675,6901028080682,,,,,,,,,
626,传统烟,大陆,北戴河,北戴河(硬),北戴河,烤烟型,11mg,,0.9mg,13mg,84mm,20mg,25mg,纸质硬盒,红,白,,20,￥2.5元,￥25元,6901028080415,6901028080422,,,,,,,,,
627,传统烟,大陆,北戴河,北戴河(软烤),北戴河,烤烟型,13mg,,1.1mg,15mg,84mm,20mg,25mg,纸质软包,红,金,,20,￥15元,￥15元,6901028080590,6901028080309,,,,,,,,,
629,传统烟,大陆,钻石,钻石(硬红120)??国嘴120,钻石,烤烟型,8mg,,0.8mg,10mg,120mm,58mm,24mm,纸质硬盒,红,金,,20,￥45元,￥450元,6901028080651,6901028080668,,,,,,,,,
630,传统烟,历史品牌,人参,人参(VIP),人参,烤烟型,14mg,,1.1mg,6mg,84mm,20mg,25mg,纸质软包,红色,金色,,20,￥50元,,6901028098687,,,,,,,,,,
631,传统烟,大陆,苏烟,苏烟(铂晶),苏烟,烤烟型,12mg,,1.1mg,12mg,84mm,24mm,24mm,金属盒,金,铂金,,20,￥100元,￥990元,6901028062558,6901028062688,,,,,,,,,
632,传统烟,大陆,红双喜(沪),红双喜(硬百顺)??红双喜,红双喜(沪),烤烟型,11mg,,1.0mg,11mg,84mm,25mg,25mg,纸质硬盒,红,金,,20,￥10元,￥100元,6901028075992,6901028076005,,,,,,,,,
633,传统烟,大陆,黄山,黄山(新制皖烟)??普皖,黄山,烤烟型,11mg,,1.2mg,11mg,84mm,25mg,24mm,纸质硬盒,金,黄,10,20,￥15元,￥150元,6901028225168,6901028225175,,,,,,,,,
634,传统烟,大陆,黄山,黄山(红皖烟),黄山,烤烟型,11mg,,1.1mg,11mg,84mm,25mg,24mm,纸质硬盒,红,黄,,20,￥19元,￥190元,6901028225144,6901028225137,,,,,,,,,
635,传统烟,大陆,黄山,黄山(金皖烟),黄山,烤烟型,11mg,,1.2mg,11mg,84mm,25mg,24mm,纸质硬盒,金,黄,,20,￥28元,￥280元,6901028225106,6901028225113,,,,,,,,,
636,传统烟,历史品牌,皖烟,“皖烟”请查看“黄山”,皖烟,烤烟型,,,,,,,,纸质软包,,,,,,,,,,,,,,,,,
637,传统烟,大陆,都宝,都宝(银时尚),都宝,混合型,7mg,,0.6mg,8mg,84mm,22mm,24mm,纸质硬盒,兰,银,,20,￥6元,￥60元,6901028126700,6901028126694,,,,,,,,,
638,传统烟,大陆,都宝,都宝(醇和)??纯和,都宝,混合型,8mg,,0.8mg,8mg,84mm,22mm,24mm,纸质硬盒,兰,白,,20,￥4元,￥40元,6901028126960,6901028126953,,,,,,,,,
639,传统烟,大陆,都宝,都宝(国际),都宝,混合型,10mg,,1.0mg,11mg,94mm,30mg,25mg,纸质硬盒,金,兰,,20,￥10元,￥100元,6901028126724,6901028126717,,,,,,,,,
640,传统烟,大陆,红三环,红三环(红),红三环,烤烟型,13mg,,1.1mg,15mg,84mm,25mg,24mm,纸质硬盒,红,金,,20,￥4元,￥40元,6901028128735,6901028128742,,,,,,,,,
641,传统烟,大陆,红三环,红三环(幸福篇),红三环,烤烟型,13mg,,1.2mg,15mg,84mm,22mm,24mm,纸质硬盒,红,黄,,20,￥3元,￥30元,6901028122559,6901028122566,,,,,,,,,
642,传统烟,历史品牌,长征,长征(硬),长征,烤烟型,13mg,,1.1mg,14mg,84mm,20mg,25mg,纸质硬盒,红色,金色,,20,￥5元,￥50元,6901028038638,,,,,,,,,,
643,传统烟,大陆,七匹狼,七匹狼(纯雅),七匹狼,烤烟型,6mg,,0.6mg,8mg,84mm,27mm,,纸质硬盒,蓝,金,10,20,￥16元,￥160元,6901028142151,6901028142168,,,,,,,,,
644,传统烟,历史品牌,驰,驰(精品软),驰,烤烟型,13mg,,1.1mg,14mg,84mm,,,纸质软包,红,金,,20,￥10元,￥100元,6901028040631,,,,,,,,,,
645,传统烟,历史品牌,驰,驰(醇香佳品),驰,烤烟型,13mg,,1.1mg,,84mm,20mg,24mm,纸质硬盒,红,金,,20,￥5元,,6901028040211,,,,,,,,,,
646,传统烟,大陆,新石家庄,新石家庄(金),新石家庄,烤烟型,12mg,,1.0mg,12mg,84mm,30mg,25mg,纸质硬盒,金,红,,20,￥15元,￥150元,6901028078450,6901028078467,,,,,,,,,
647,传统烟,大陆,新石家庄,新石家庄(绿石2代),新石家庄,烤烟型,15mg,,1.2mg,15mg,84mm,25mg,24mm,纸质硬盒,绿,金,,20,￥10元,￥100元,6901028078863,6901028078870,,,,,,,,,
648,传统烟,大陆,新石家庄,新石家庄(红石2代),新石家庄,烤烟型,13mg,,1.1mg,14mg,84mm,25mg,24mm,纸质硬盒,红,金,,20,￥5.5元,￥55元,6901028077088,6901028077118,,,,,,,,,
650,传统烟,历史品牌,北京,北京(红),北京,烤烟型,12mg,,1.1mg,,84mm,20mg,25mg,纸质硬盒,红,白金,,20,￥5元,,6901028072458,,,,,,,,,,
651,传统烟,历史品牌,北京,北京(金),北京,烤烟型,15mg,,1.1mg,,84mm,20mg,25mg,纸质硬盒,金红,金,,20,￥12元,,6901028072151,,,,,,,,,,
652,传统烟,大陆,娇子,娇子(龙凤喜庆新)??龙凤喜庆新,娇子,烤烟型,11mg,,1.0mg,12mg,84mm,24mm,24mm,纸质硬盒,红,金,,20,￥7元,￥70元,6901028030793,6901028030854,,,,,,,,,
653,传统烟,大陆,黄金叶,黄金叶(世纪之光),黄金叶,烤烟型,12mg,,1.0mg,13mg,84mm,20mg,24mm,纸质硬盒,红,银,,20,￥4元,￥40元,6901028161145,6901028161152,,,,,,,,,
654,传统烟,大陆,黄金叶,黄金叶(世纪之星),黄金叶,烤烟型,11mg,,1.0mg,11mg,84mm,20mg,25mg,纸质硬盒,黄,咖啡,,20,￥8元,￥80元,6901028161978,6901028161985,,,,,,,,,
655,传统烟,大陆,黄金叶,黄金叶(茗仕之风),黄金叶,烤烟型,11mg,,1.0mg,11mg,84mm,30mg,24mm,纸质硬盒,蓝,金,,20,￥55元,￥550元,6901028160872,6901028160889,,,,,,,,,
656,传统烟,大陆,黄鹤楼,黄鹤楼(迷彩笑春风),黄鹤楼,烤烟型,6mg,,0.6mg,6mg,84mm,30mg,,纸质硬盒,玫红,迷彩,,20,￥80元,￥800元,6901028182140,,,,,,,,,,
658,传统烟,历史品牌,金丝猴,金丝猴(硬红),金丝猴,烤烟型,13mg,,1.1mg,,84mm,20mg,24mm,纸质硬盒,红,白,,20,￥2.5元,,6901028058407,,,,,,,,,,
659,传统烟,历史品牌,金丝猴,金丝猴(软蓝),金丝猴,烤烟型,13mg,,1.1mg,15mg,84mm,20mg,24mm,纸质软包,兰,金,10,20,￥2元,￥20元,6901028058889,6901028058896,,,,,,,,,
660,传统烟,大陆,猴王,猴王(咖啡),猴王,烤烟型,14mg,,1.2mg,15mg,84mm,25mg,24mm,纸质硬盒,咖啡,金,,20,￥8元,￥80元,6901028058315,6901028058322,,,,,,,,,
661,传统烟,大陆,猴王,猴王(磨砂),猴王,烤烟型,13mg,,1.2mg,14mg,84mm,25mg,24mm,纸质硬盒,金,红,,20,￥10元,￥100元,6901028058544,6901028058551,,,,,,,,,
662,传统烟,大陆,猴王,猴王(金),猴王,烤烟型,11mg,,1.0mg,13mg,84mm,25mg,24mm,纸质硬盒,金,红,,20,￥5元,￥50元,6901028058032,6901028058049,,,,,,,,,
663,传统烟,大陆,猴王,猴王(硬红),猴王,烤烟型,13mg,,1.1mg,15mg,84mm,20mg,24mm,纸质硬盒,红,金,,20,￥4元,￥40元,6901028058018,6901028058025,,,,,,,,,
664,传统烟,大陆,猴王,猴王(软红),猴王,烤烟型,11mg,,0.9mg,14mg,84mm,20mg,24mm,纸质软包,红,金,,20,￥4.5元,￥45元,6901028058285,6901028058292,,,,,,,,,
665,传统烟,历史品牌,特美思,特美思(硬精品出口英文),特美思,烤烟型,15mg,,1.2mg,,84mm,25mg,25mg,纸质硬盒,金,红,,20,￥10元,,6901028942515,,,,,,,,,,
666,传统烟,历史品牌,特美思,特美思(硬精品),特美思,烤烟型,12mg,,1.0mg,,84mm,25mg,24mm,纸质硬盒,金,红,,20,￥5元,,6901028006071,,,,,,,,,,
667,传统烟,历史品牌,特美思,特美思(硬),特美思,烤烟型,12mg,,0.9mg,,84mm,20mg,24mm,纸质硬盒,金,红,,20,￥3元,,6901028006040,,,,,,,,,,
669,传统烟,大陆,好日子,好日子(硬吉祥),好日子,烤烟型,12mg,,1.1mg,14mg,84mm,25mg,25mg,纸质硬盒,红,银,,20,￥7元,￥70元,6901028942669,6901028942676,,,,,,,,,
670,传统烟,大陆,好日子,好日子(硬金尊),好日子,烤烟型,13mg,,1.2mg,13mg,84mm,20mg,25mg,纸质硬盒,红,金,10,20,￥28元,￥280元,6901028942256,6901028942263,,,,,,,,,
671,传统烟,大陆,好日子,好日子(软珍品),好日子,烤烟型,13mg,,1.1mg,14mg,84mm,25mg,25mg,纸质软包,红,银,,20,￥16元,￥160元,6901028942454,6901028942461,,,,,,,,,
672,传统烟,大陆,五叶神,五叶神(硬绿),五叶神,烤烟型,13mg,,1.3mg,14mg,84mm,20mg,25mg,纸质硬盒,绿,银,,20,￥22元,￥220元,6901028007573,6901028007566,,,,,,,,,
673,传统烟,大陆,五叶神,五叶神(硬银),五叶神,烤烟型,13mg,,1.3mg,13mg,84mm,20mg,25mg,纸质硬盒,银,绿,,20,￥12元,￥120元,6901028007559,6901028007542,,,,,,,,,
674,传统烟,大陆,娇子,娇子(硬功夫王)??功夫王娇子,娇子,烤烟型,5mg,,0.6mg,5mg,84mm,30mg,24mm,纸质硬盒,黄,黑,,20,￥66元,￥660元,6901028031820,6901028031837,,,,,,,,,
675,传统烟,港澳台,红双喜(港),红双喜(超醇9mg港版)??南洋红双喜,红双喜(港),烤烟型,9mg,,0.8mg,,84mm,,,纸质硬盒,白,粉红,,20,￥6元,￥60元,4891132016405,,,,,,,,,,
677,传统烟,历史品牌,大重九,大重九(软),大重九,烤烟型,12mg,,1.1mg,12mg,84mm,25mg,,纸质软包,黄,红,10,20,￥100元,￥1000元,6901028045957,,,,,,,,,,
678,传统烟,大陆,泰山,泰山(拂光)??泰山佛光,泰山,烤烟型,11mg,,1.2mg,11mg,80mm,25mg,25mg,纸质硬盒,紫,金,10,20,￥80元,￥800元,6901028157612,6901028157629,,,,,,,,,
679,传统烟,大陆,娇子,娇子(传奇天子)??传奇天子,娇子,烤烟型,8mg,,0.8mg,8mg,84mm,30mg,24mm,纸质硬盒,黄,紫,,20,,,6901028033633,6901028033640,,,,,,,,,
680,传统烟,大陆,红金龙,红金龙(深蓝),红金龙,烤烟型,10mg,,1.0mg,10mg,84mm,,,纸质硬盒,蓝,金,,20,￥10元,￥100元,6901028180177,,,,,,,,,,
682,传统烟,大陆,红河,红河(软V8),红河,烤烟型,11mg,,1.1mg,11mg,84mm,27mm,24mm,纸质软包,红,黑,,20,￥60元,￥600元,6901028055109,6901028055406,,,,,,,,,
683,传统烟,大陆,红河,红河(软99),红河,烤烟型,8mg,,0.8mg,9mg,84mm,27mm,24mm,纸质软包,蓝,金,10,20,￥1330,￥130元,6901028055093,6901028055390,,,,,,,,,
684,传统烟,大陆,红河,红河(软88),红河,烤烟型,11mg,,1.1mg,11mg,84mm,27mm,24mm,纸质软包,红,金,,20,￥10元,￥100元,6901028055086,6901028055383,,,,,,,,,
685,传统烟,大陆,红河,红河(软甲),红河,烤烟型,10mg,,0.7mg,12mg,84mm,27mm,24mm,纸质软包,红,白,10,20,￥8元,￥80元,6901028055024,6901028055314,,,,,,,,,
686,传统烟,历史品牌,五一,五一(黄),五一,烤烟型,12mg,,1.1mg,,84mm,20mg,25mg,纸质硬盒,黄,红,,20,,,6901028345422,,,,,,,,,,
687,传统烟,历史品牌,五一,五一(红国际),五一,烤烟型,15mg,,1.3mg,,84mm,20mg,25mg,纸质硬盒,红,白,,20,￥9.5元,￥95元,6901028344197,,,,,,,,,,
688,传统烟,历史品牌,五一,五一(国际),五一,烤烟型,15mg,,1.3mg,,84mm,20mg,25mg,纸质硬盒,蓝,金,,20,￥10元,,6901028119436,,,,,,,,,,
689,传统烟,大陆,椰王,椰王(硬绿),椰王,烤烟型,11mg,,1.0mg,11mg,84mm,24mm,25mg,纸质硬盒,绿,银,,20,￥15元,￥150元,6901028020725,6901028020732,,,,,,,,,
690,传统烟,大陆,双喜,双喜(典藏逸品),双喜,烤烟型,8mg,,0.8mg,10mg,84mm,30mg,25mg,纸质硬盒,红,金,,20,￥100元,￥900元,6901028001588,6901028001595,,,,,,,,,
691,传统烟,大陆,双喜,双喜(硬世纪经典),双喜,烤烟型,10mg,,0.9mg,10mg,84mm,30mg,25mg,纸质硬盒,红,金,10,20,￥23元,￥230元,6901028000932,6901028000949,,,,,,,,,
692,传统烟,大陆,双喜,双喜(听),双喜,烤烟型,13mg,,1.3mg,14mg,84mm,20mg,25mg,听/桶/罐,红,金,2,50,￥30元,￥60元,6901028000031,6901028001052,,,,,,,,,
693,传统烟,大陆,双喜,双喜(硬经典),双喜,烤烟型,11mg,,1mg,13mg,84mm,25mg,25mg,纸质硬盒,红,金,10,20,￥15元,￥150元,6901028000642,6901028000659,,,,,,,,,
694,传统烟,大陆,双喜,双喜(硬国际)??特制醇香,双喜,烤烟型,11mg,,1.1mg,13mg,84mm,20mg,25mg,纸质硬盒,红,银,,20,￥8元,￥80元,6901028000482,6901028000499,,,,,,,,,
695,传统烟,大陆,双喜,双喜(软国际)??特制醇香,双喜,烤烟型,11mg,,1.1mg,13mg,84mm,20mg,25mg,纸质软包,红,白,,20,￥6元,￥60元,6901028001465,6901028001472,,,,,,,,,
696,传统烟,大陆,双喜,双喜(软01),双喜,烤烟型,11mg,,1.2mg,13mg,84mm,20mg,25mg,纸质软包,红,金,10,20,￥12元,￥120元,6901028000598,6901028000963,,,,,,,,,
697,传统烟,大陆,双喜,双喜(硬01),双喜,烤烟型,11mg,,1.2mg,13mg,84mm,20mg,25mg,纸质硬盒,红,金,10,20,￥15元,￥150元,6901028000987,6901028000994,,,,,,,,,
698,传统烟,大陆,孟菲斯,孟菲斯(硬蓝),孟菲斯,烤烟型,9mg,,0.9mg,10mg,84mm,25mg,25mg,纸质硬盒,蓝,银,,20,￥7元,￥70元,6901028076333,6901028076340,,,,,,,,,
699,传统烟,大陆,孟菲斯,孟菲斯(硬红),孟菲斯,烤烟型,12mg,,0.9mg,12mg,84mm,20mg,25mg,纸质硬盒,红,金,,20,￥7元,￥70元,6901028076302,6901028076319,,,,,,,,,
701,传统烟,大陆,江山,江山(一统),江山,烤烟型,10mg,,1.0mg,10mg,84mm,25mg,25mg,纸质硬盒,金,黄,,20,￥50元,￥500元,6901028073646,6901028073653,,,,,,,,,
702,传统烟,大陆,江山,江山(珍品),江山,烤烟型,13mg,,1.2mg,13mg,84mm,25mg,25mg,纸质硬盒,金,桔,,20,￥15元,￥150元,6901028073707,6901028073714,,,,,,,,,
703,传统烟,大陆,江山,江山(精品),江山,烤烟型,13mg,,1.2mg,12mg,84mm,25mg,25mg,纸质硬盒,橘黄,红,10,20,￥10元,￥100元,6901028074575,6901028074582,,,,,,,,,
704,传统烟,大陆,椰树,椰树(软),椰树,烤烟型,11mg,,1.0mg,13mg,84mm,20mg,25mg,纸质软包,蓝,金,,20,￥2.5元,￥25元,6901028002097,6901028002028,,,,,,,,,
705,传统烟,大陆,椰树,椰树(硬)??金装,椰树,烤烟型,11mg,,1mg,12mg,84mm,20mg,25mg,纸质硬盒,红,金,10,20,￥10元,￥100元,6901028002233,6901028002011,,,,,,,,,
706,传统烟,大陆,黄鹤楼,黄鹤楼(3mg梯杷),黄鹤楼,烤烟型,3mg,,0.3mg,3mg,84mm,30mg,,纸质硬盒,白,金,,20,￥100元,￥1000元,6901028184243,6901028184250,,,,,,,,,
707,传统烟,大陆,椰树,椰树(硬精品)??硬绿,椰树,烤烟型,13mg,,1.3mg,15mg,84mm,20mg,25mg,纸质硬盒,墨绿,银,,20,￥4.5元,￥45元,6901028002752,6901028002769,,,,,,,,,
710,传统烟,大陆,羊城,羊城(硬特醇)??硬白,羊城,混合型,12mg,,1.1mg,13mg,84mm,20mg,25mg,纸质硬盒,金,红,,20,￥3元,￥30元,6901028000215,6901028000086,,,,,,,,,
711,传统烟,大陆,羊城,羊城(软特醇)??软白,羊城,混合型,11mg,,1.0mg,12mg,84mm,20mg,25mg,纸质软包,金,白,,20,￥2.5元,￥25元,6901028000192,6901028000208,,,,,,,,,
712,传统烟,大陆,羊城,羊城(硬红),羊城,混合型,11mg,,1.0mg,12mg,84mm,20mg,25mg,纸质硬盒,红,金,,20,￥3元,￥30元,6901028000178,6901028000079,,,,,,,,,
713,传统烟,大陆,羊城,羊城(软红),羊城,混合型,11mg,,1mg,12mg,84mm,20mg,25mg,纸质软包,红,白,10,20,￥7元,￥70元,6901028000154,6901028000161,,,,,,,,,
714,传统烟,大陆,羊城,羊城(软薄荷),羊城,外香型,13mg,,1.1mg,15mg,84mm,20mg,25mg,纸质软包,绿,白,,20,￥2.3元,￥23元,6901028000239,6901028000260,,,,,,,,,
719,传统烟,大陆,帝豪,帝豪(天尊),帝豪,烤烟型,12mg,,0.9mg,12mg,84mm,30mg,25mg,纸质硬盒,黑,金,,20,￥30元,￥300元,6901028163767,,,,,,,,,,
720,传统烟,大陆,月兔,月兔(月兔王),月兔,烤烟型,15mg,,1.2mg,14mg,84mm,22mm,24mm,纸质硬盒,绿,金,,20,￥4元,￥40元,6901028019019,,,,,,,,,,
721,传统烟,港澳台,阿里山,阿里山(硬景泰典蓝)??阿里山,阿里山,烤烟型,10mg,,1mg,10mg,84mm,,,纸质硬盒,蓝,金,10,20,￥20元,￥200元,4719579946300,,,,,,,,,,
722,传统烟,港澳台,阿里山,阿里山(醇叶)??阿里山,阿里山,烤烟型,12mg,,0.8mg,,,,,纸质硬盒,棕,金,,20,,,4719579946966,,,,,,,,,,
723,传统烟,大陆,月兔,月兔(特醇),月兔,烤烟型,10mg,,0.8mg,14mg,84mm,22mm,25mg,纸质硬盒,红,金,,20,￥2.5元,￥25元,6901028919258,6901028919265,,,,,,,,,
724,传统烟,大陆,黄鹤楼,黄鹤楼(软1916)??1916软普,黄鹤楼,烤烟型,6mg,,0.6mg,6mg,84mm,30mg,,纸质软包,咖啡,银白,,20,￥100元,￥1000元,6901028179058,6901028179065,,,,,,,,,
725,传统烟,大陆,茶花,茶花(94mm),茶花,烤烟型,8mg,,0.7mg,9mg,94mm,25mg,23mm,纸质硬盒,珍珠白,红,,20,￥7元,￥70元,6901028045483,6901028045490,,,,,,,,,
727,传统烟,大陆,人民大会堂,人民大会堂(硬红),人民大会堂,烤烟型,10mg,,0.9mg,10mg,84mm,24mm,24mm,纸质硬盒,红,金,10,20,￥15元,￥150元,6901028092944,6901028092951,,,,,,,,,
728,传统烟,大陆,人民大会堂,人民大会堂(软红),人民大会堂,烤烟型,13mg,,1.3mg,13mg,84mm,24mm,24mm,纸质软包,红,金,,20,￥32元,￥320元,6901028093187,6901028093194,,,,,,,,,
729,传统烟,大陆,红双喜(沪),红双喜(硬金上海)??红双喜,红双喜(沪),烤烟型,11mg,,1.1mg,12mg,84mm,25mg,,纸质硬盒,金,红,10,20,￥1330,￥130元,6901028018425,6901028018432,,,,,,,,,
730,传统烟,大陆,利群,利群(软阳光出口),利群,烤烟型,12mg,,1.2mg,12mg,84mm,30mg,,纸质软包,褐,金,,20,￥28元,￥280元,6901028344432,6901028344449,,,,,,,,,
731,传统烟,大陆,金圣,金圣(典藏花开富贵),金圣,烤烟型,10mg,,1.0mg,12mg,84mm,24mm,,纸质硬盒,红,金,,20,￥40元,￥360元,6901028136280,6901028136297,,,,,,,,,
733,传统烟,大陆,庐山,庐山(新),庐山,烤烟型,11mg,,0.8mg,12mg,84mm,22mm,24mm,纸质硬盒,银,金,10,20,￥8元,￥80元,6901028134392,6901028134408,,,,,,,,,
734,传统烟,历史品牌,赣,赣(精品),赣,烤烟型,13mg,,0.9mg,,84mm,22mm,24mm,纸质硬盒,黑,黄,,20,￥4元,￥40元,6901028135542,6901028135559,,,,,,,,,
735,传统烟,历史品牌,赣,赣(珍品),赣,烤烟型,12mg,,1.1mg,12mg,84mm,22mm,24mm,纸质硬盒,蓝,蓝,,20,￥7元,￥70元,6901028135665,6901028135658,,,,,,,,,
736,传统烟,历史品牌,赣,赣(佳品),赣,烤烟型,13mg,,1.1mg,,84mm,22mm,25mg,纸质硬盒,红,红,,20,￥5元,￥50元,6901028135719,6901028135726,,,,,,,,,
739,传统烟,国外,LUCKY STRIKE(好彩),好彩(黑中免)??LUCKY STRIKE 好彩,LUCKY STRIKE(好彩),混合型,8mg,,0.7mg,8mg,84mm,,,纸质硬盒,黑,蓝,,20,￥12元,￥120元,8888075002554,,,,,,,,,,
740,传统烟,历史品牌,南方,南方(千禧),南方,烤烟型,13mg,,1.0mg,,84mm,22mm,24mm,纸质硬盒,红,金,,20,￥2元,,6901028133319,,,,,,,,,,
741,传统烟,历史品牌,南方,南方(特醇),南方,烤烟型,15mg,,1.3mg,,84mm,20mg,24mm,纸质软包,红,金,,20,,,6901028133647,,,,,,,,,,
742,传统烟,国外,LUCKY STRIKE(好彩),好彩(蓝中免)??LUCKY STRIKE 好彩,LUCKY STRIKE(好彩),混合型,8mg,,0.7mg,8mg,84mm,,,纸质硬盒,蓝,白,,20,￥12元,￥120元,8888075001854,,,,,,,,,,
743,传统烟,历史品牌,赣,赣(硬红金),赣,烤烟型,13mg,,1.3mg,15mg,84mm,22mm,25mg,纸质硬盒,红,金,,20,￥1330,￥130元,6901028135672,6901028135429,,,,,,,,,
744,传统烟,历史品牌,江湾,江湾,江湾,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
745,传统烟,历史品牌,海鸟,普通海鸟,海鸟,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
746,传统烟,历史品牌,海鸟,硬精品海鸟,海鸟,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
747,传统烟,大陆,兰州,兰州(软飞天),兰州,烤烟型,7mg,,0.7mg,8mg,84mm,30mg,,纸质软包,褐,金,,20,￥32元,￥320元,6901028066556,6901028066099,,,,,,,,,
750,传统烟,大陆,红玫,红玫(硬精品)??硬金,红玫,烤烟型,11mg,,1mg,13mg,84mm,20mg,25mg,纸质硬盒,金,红,10,20,￥8元,￥80元,6901028005241,6901028005128,,,,,,,,,
752,传统烟,大陆,红玫,红玫(软),红玫,烤烟型,11mg,,1.0mg,13mg,84mm,20mg,25mg,纸质软包,白,红,,20,￥3元,￥30元,6901028005135,6901028005012,,,,,,,,,
753,传统烟,历史品牌,大丰收,"低端共享品牌,不收录",大丰收,烤烟型,13mg,,1.0mg,14mg,,,,纸质软包,,,,,￥2.5元,,,,,,,,,,,,
754,传统烟,大陆,好日子,好日子(硬),好日子,烤烟型,14mg,,1.1mg,14mg,84mm,25mg,24mm,纸质硬盒,红,黄,,20,￥7元,￥70元,6901028942041,,,,,,,,,,
755,传统烟,大陆,好日子,好日子(软),好日子,烤烟型,12mg,,1.0mg,14mg,84mm,20mg,24mm,纸质软包,红,黄,,20,￥6元,￥60元,6901028942010,6901028942027,,,,,,,,,
756,传统烟,大陆,好日子,好日子(硬金精品),好日子,烤烟型,13mg,,1.1mg,14mg,84mm,25mg,25mg,纸质硬盒,金,红,10,20,￥10元,￥100元,6901028942072,6901028942089,,,,,,,,,
758,传统烟,大陆,双喜,双喜(红玫王软蓝),双喜,烤烟型,8mg,,0.8mg,10mg,84mm,,,纸质软包,蓝,金,10,20,￥15元,￥150元,6901028004947,6901028004954,,,,,,,,,
760,传统烟,历史品牌,红豆,红豆(硬),红豆,烤烟型,11mg,,0.9mg,14mg,84mm,,,纸质硬盒,银,金,,20,￥3元,￥30元,6901028199131,,,,,,,,,,
761,传统烟,大陆,双叶,双叶(薄荷),双叶,外香型,10mg,,0.8mg,13mg,84mm,20mg,25mg,纸质硬盒,绿,银,,20,￥2元,￥20元,6901028117159,6901028117166,,,,,,,,,
762,传统烟,历史品牌,新安江,新安江(银红),新安江,烤烟型,15mg,,1.3mg,,84mm,20mg,25mg,纸质硬盒,红,银,,20,￥10元,￥100元,6901028207317,,,,,,,,,,
763,传统烟,大陆,大红鹰,大红鹰(新安江软蓝),大红鹰,烤烟型,8mg,,0.8mg,8mg,84mm,20mg,25mg,纸质软包,蓝,红,,20,￥11元,￥110元,6901028120272,6901028120289,,,,,,,,,
764,传统烟,历史品牌,新安江,新安江(蓝),新安江,烤烟型,15mg,,1.3mg,,,,,,,,,,￥10元,,,,,,,,,,,,
765,传统烟,历史品牌,西湖,西湖(明珠),西湖,烤烟型,13mg,,1.2mg,,84mm,20mg,25mg,纸质硬盒,红,淡黄,,20,￥3元,￥30元,6901028207010,,,,,,,,,,
766,传统烟,历史品牌,西湖,西湖(蓝明珠),西湖,烤烟型,15mg,,1.2mg,,,,,,,,,,,,,,,,,,,,,,
